岗位名称,公司名称,工作地点,薪资,工作福利,公司类型,招聘人数,工作经验,发布日期,公司规模,招聘详情
会计（外勤）,广东凌云志集团,广州-天河区,5-8千/月,绩效奖金 社保,民营公司,4.0,3.0,2021-06-27 09:01:36,150-500人,https://jobs.51job.com/guangzhou-thq/109892402.html?s=sou_sou_soulb&t=0_0
财务会计,珠海京天世纪科技有限公司,珠海,5-7千/月,绩效奖金 专业培训 年度体检 员工旅游 提供午餐 年终奖金 五险,民营公司,6.0,4.0,2021-06-27 09:01:31,50-150人,https://jobs.51job.com/zhuhai/124702027.html?s=sou_sou_soulb&t=0_0
财务会计专员,广东光科电力有限公司,佛山-禅城区,4.5-6千/月,五险一金 员工旅游 年终奖金 弹性工作,民营公司,5.0,5.0,2021-06-27 08:59:20,50-150人,https://jobs.51job.com/foshan-ccq/131720219.html?s=sou_sou_soulb&t=0_0
会计,杭州滨文丰田汽车销售服务有限公司,杭州,3-6千/月,带薪年假 全勤奖 节日福利 专业培训 通讯补贴 高温补贴 绩效奖金,民营公司,2.0,4.0,2021-06-27 08:55:00,50-150人,https://jobs.51job.com/hangzhou/132378286.html?s=sou_sou_soulb&t=0_0
储备会计师事务所合伙人,杭州天铭会计师事务所（普通合伙）,杭州-拱墅区,1.5-3万/月,五险一金 交通补贴 绩效奖金,民营公司,6.0,6.0,2021-06-27 08:28:23,少于50人,https://jobs.51job.com/hangzhou-gsq/105067098.html?s=sou_sou_soulb&t=0_0
应收会计,慈溪市万能电子有限公司,宁波-慈溪市,4.5-6千/月,年终奖金 专业培训 免费班车,民营公司,5.0,5.0,2021-06-27 08:06:50,500-1000人,https://jobs.51job.com/ningbo-cxs/132887712.html?s=sou_sou_soulb&t=0_0
会计(4S店）,湖北三环盛通汽车有限公司,武汉-东湖新技术产业开发区,4.5-6千/月,绩效奖金 华为智选培训 五险一金 定期体检 年终奖金 员工旅游 通讯补贴 专业培训 包中餐 带薪年假,国企,5.0,5.0,2021-06-27 06:45:01,150-500人,https://jobs.51job.com/wuhan-dhxjs/133069087.html?s=sou_sou_soulb&t=0_0
核算会计白云,广东玖留米时尚科技有限公司,广州-白云区,4.5-8千/月,社保 专业培训 下午茶 节日福利 包住宿,民营公司,5.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/guangzhou-byq/133127882.html?s=sou_sou_soulb&t=0_0
外贸会计,三六一度（中国）有限公司,泉州-晋江市,4.5-6千/月,五险 周末双休 包吃 节日福利 带薪年假 绩效奖金,合资,5.0,4.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/quanzhou-jjs/133127816.html?s=sou_sou_soulb&t=0_0
往来会计（对账）,常州市红橙黄电子商务有限公司,常州-钟楼区,4.5-6千/月,全勤奖 带薪年假 餐饮补贴 专业培训 绩效奖金,民营公司,6.0,3.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/changzhou-zlq/133127812.html?s=sou_sou_soulb&t=0_0
会计,广东昊昇装饰设计工程有限公司,广州-番禺区,3-4.5千/月,五险一金 员工旅游 专业培训 年终奖金 绩效奖金,民营公司,4.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/guangzhou-pyq/133127787.html?s=sou_sou_soulb&t=0_0
