福利待遇,数量
研发奖金,1
研发实力强,1
研发氛围佳,1
研发绩效,1
硅谷同事,1
硅谷团队,1
硅谷大牛,1
硅谷文化,1
社会五险、,1
社会保险,20
社保,57
社保五险,6
社保六险,1
社保医保,1
社保和商业险,1
社保齐全,1
社团活动,1
祝贺慰问金,1
福利优,1
福利假期,1
福利奖金,1
福利好,1
福利完善,1
福利带薪假,1
福利年假,3
福利待遇,1
福利待遇优,1
福利待遇好,2
福利房,2
福利班车,1
福利病假,2
福利补贴,3
福利超好,1
福利食堂,1
福利齐全,3
离地铁近,1
私产公用补贴,1
科研团队,1
科研环境,1
租房补贴,7
积分入户,1
积分制,1
积分奖金,1
积分落户,1
移动互联网,1
空间大,1
立即上岗,1
竞争力的薪酬,1
笔记本补贴,1
简单氛围,1
管理规范,13
節日福利,2
精美下午茶,1
级别福利,1
组织年度旅游,1
结婚添子贺礼,1
结婚生子喜金,1
结婚生子贺仪,1
结婚生子金,1
结婚生育礼金,1
结婚生育福利,1
结婚礼金,2
结婚福利,1
绩效奖金,4696
绩效提成,1
绩效激励,1
绩效考核奖励,1
综合保险,1
综合补助,1
缴纳五险,1
缴纳社保,3
置装费,1
美味三餐,1
美味食堂,1
美国创业团队,1
美女如云,2
美容基金,1
美式工作环境,1
美式文化,1
老板nice,3
老板好,2
老板非常好,1
考级报销,1
考试假,1
职业发展,1
职业年金,1
职业规划,1
职位升迁,1
职位晋升,4
职工食堂,1
职称技能奖励,1
职称津贴,1
职称评定,1
职级津贴,1
聚餐,1
聚餐团建,1
聚餐派对,1
股份分红,1
股份期权,1
股权,1
股权分红,1
股权分配,1
股权激励,12
股权激励分红,1
股票期权,786
股票预算,1
能力定薪,1
自助饭堂,1
自有食堂,1
自由氛围,1
舒适工作节奏,1
舒适环境,1
良好晋升机制,1
良好晋升空间,1
良好氛围,1
节假日,1
节假日休,1
节假日休息,2
节假日全休,1
节假日多,1
节假日放假,1
节假日法定,1
节假日活动,1
节假日物资,1
节假日礼品,5
节假日礼品卡,1
节假日礼金,1
节假日福利,91
节假礼品,2
节假福利,2
节日关怀,1
节日慰问,2
节日慰问金,1
节日津贴,4
节日生日慰问,1
节日生日福利,3
节日礼品,10
节日礼品礼金,1
节日礼物,17
节日礼金,9
节日福利,1925
"节日福利,",1
节日红包,2
节日聚餐,1
节日补助,1
节日补贴,5
节日费,1
节日贺金,1
节日问候,1
节目福利,1
花样福利,2
落户办理,4
薪水福利好,1
薪资丰厚,1
薪资面议,1
薪酬定期增长,1
行业前景好,2
行业领军企业,1
行业龙头,1
行政班,1
补充保险,2
补充公积金,375
补充养老保险,1
补充养老金,1
补充医保,1
补充医疗保险,1350
补充医疗险,1
补充商业保险,10
补充商业险,2
补充意外保险,1
补充意外险,4
补助津贴,1
解决苏州户口,1
设备补贴,1
评优奖金,1
试用期不打折,1
试用期全薪,3
试用期全额,13
试用期发全薪,1
试用期同薪酬,1
话补,1
话费补贴,2
误餐补助,1
诱人晋升机制,1
调休,1
调薪制,1
调薪灵活,1
调薪空间大,1
豪华团建,1
购书补贴,1
购买五险,4
购买六险,1
购买社保,7
购五险,1
购房补助,1
购社保,1
购车补助,1
资质补贴,1
超长假期,1
超长带薪年假,2
超长年假,5
超长春节假,2
超长春节假期,1
足球场,1
跑马免费报名,1
车补,1
车辆补助,1
转正后加社保,1
转正后有餐补,1
转正机会,3
转正社五险,1
转正社保,1
轮值调休,1
轮岗机会,1
轻松,1
轻松下午茶,2
轻松氛围,1
较少加班,1
达标超额奖,1
过节礼物,1
过节福利,8
过节费,14
运动场地,1
运动场馆,1
运动培训补贴,1
近地铁口,1
通勤班车,2
通讯出差补贴,1
通讯津贴,3
通讯补助,1
通讯补贴,1862
逢年过节福利,1
週末雙休,1
部门分成激励,1
部门团建,7
部门完善,1
部门活动,3
部门聚餐,2
配发原始股,1
配食堂,1
酒店服务业,1
采暖补贴,4
采暖费,1
重大疾病保险,1
重大项目,1
重大项目奖励,1
重点项目,4
重疾保险,1
重疾险,1
银联二级企业,1
销售业绩提成,1
销售季度奖金,1
锻炼机会多,1
长期激励,2
长期稳定,1
长期股权激励,1
长白班,1
防暑费,1
防暑降温补贴,1
阳光企业文化,1
阿里系,1
阿里腾讯环球,1
降温费,1
陪产假,1
陪护病假,1
隐形福利,1
集体宿舍,1
集体旅游,1
集团短号,1
雇主保险,1
零食,1
零食、下午茶,1
零食下午茶,9
零食不断,1
零食任吃,1
零食咖啡畅享,1
零食无限量,1
零食柜,1
零食水果,1
零食水果多多,1
零食茶歇,1
零食饮料,2
靠近地铁,1
面议,2
面试协商,1
面谈,1
项目分红,2
项目奖,6
项目奖励,2
项目奖金,69
项目开发奖,1
项目成果奖励,1
项目提成,6
项目研发奖金,1
项目经理,1
项目绩效,1
顾家日,1
领导NICE,1
领导Nice,1
领导nice,14
领导亲和,1
领导企业,1
领导好,18
领导有魅力,1
领导相处易,1
额外项目奖金,1
食堂,4
食堂餐饮,1
食宿免费,1
食宿补贴,2
餐补,31
餐补750元/月,2
餐补房补,1
餐补节日补贴,1
餐费补贴,3
餐饮补贴,3409
饭堂包餐,1
饮料无限供应,1
驻场补贴,1
驻外补贴,1
高于市场薪酬,1
高成长空间,1
高提成,3
高提成/奖金,1
高提成高奖金,1
高新企业政策,1
高新职位,1
高温假,2
高温津贴,2
高温福利,1
高温补贴,266
高温费,1
高温饮品,1
高科技领域,1
高端健身房,1
高端商业保险,1
高薪酬,1
高速发展,1
高速发展期,1
高颜值团队,1
高额提成,5
鼓励创新,1
龄资递增,1
