长沙红讯文化传播有限公司 / 学历不限 /,3000-5000,
中国人寿保险 / 学历不限 /,3000-5000,
北京热度文化传媒有限公司 / 学历不限 /,面议,
湖南汇客网络科技有限公司 / 学历不限 /,5000-8000,
长沙诚诺信息技术有限公司 / 学历不限 /,3000-5000,包吃，包住
长沙志尧网络科技有限公司 / 学历不限 /,3000-5000,包吃，包住
湖南点石装饰设计工程有限公司 / 学历不限 /,5000-8000,
湖南微字科技有限公司 / 项目经理 / 学历不限 /,面议,
湖南科大云数教育科技有限公司 / 学历不限 /,3000-5000,
长沙南湖和睦医院有限公司 / 学历不限 /,3000-5000,
长沙战狼教育咨询有限公司 / 学历不限 /,5000-8000,
长沙鼎耀文信息科技有限公司 / 学历不限 /,3000-5000,
长沙鼎耀文信息科技有限公司 / 学历不限 /,3000-5000,
湖南聚晟信息科技有限公司 / 学历不限 /,3000-5000,
长沙吞玩网络科技有限公司 / 学历不限 /,5000-8000,
北京众智动力科技发展有限公司长沙... / 学历不限 /,5000-8000,
长沙杠力机械科技有限公司 / 学历不限 /,5000-8000,
广州粤嵌通信科技股份有限公司湖南... / 学历不限 /,3000-5000,
中国联合网络通信有限公司长沙市分公司 / 学历不限 /,3000-5000,
湖南晟睿互娱网络科技有限公司 / 学历不限 /,5000-8000,
长沙市芙蓉区波西米亚摄影馆 / 学历不限 /,3000-5000,
北京瑞德娇妮商贸有限公司 / 学历不限 /,3000-5000,
湖南茂汇市场管理有限公司 / 学历不限 /,8000-12000,
长沙联联购电子商务有限公司 / 学历不限 /,5000-8000,
湖南霞客游信网络科技有限公司 / 学历不限 /,8000-12000,
长沙创运天网络科技有限公司 / 学历不限 /,5000-8000,包吃，包住
湖南二六网络科技有限公司 / 学历不限 /,8000-12000,
长沙好风文化传媒有限公司 / 学历不限 /,5000-8000,
广州流氓兔网络科技有限公司 / 学历不限 /,3000-5000,
长沙市芙蓉区波西米亚摄影馆 / 学历不限 /,3000-5000,
湖南瑞邦管业有限公司 / 学历不限 /,3000-5000,
